Id|DepartamentoId|CodDepto|CodMunicipio|CodUbicacion|NombreMunicipio|EstadoEntidad|LogBaseEntityId
1|24|76|001|76001|CALI|1|1
2|26|85|001|85001|YOPAL|1|1
3|27|86|001|86001|MOCOA|1|1
4|21|68|001|68001|BUCARAMANGA|1|1
5|29|91|001|91001|LETICIA|1|1
6|20|66|001|66001|PEREIRA|1|1
7|7|18|001|18001|FLORENCIA|1|1
8|12|27|001|27001|QUIBDO|1|1
9|13|41|001|41001|NEIVA|1|1
10|8|19|001|19001|POPAYAN|1|1
11|11|25|001|25001|BOGOTA|1|1
12|2|08|001|08001|BARRANQUILLA|1|1
13|3|11|001|11001|BOGOTA|1|1
14|4|13|001|13001|CARTAGENA|1|1
15|1|05|001|05001|MEDELLIN|1|1
16|6|17|001|17001|MANIZALES|1|1
17|5|15|001|15001|TUNJA|1|1
18|9|20|001|20001|VALLEDUPAR|1|1
19|10|23|001|23001|MONTERIA|1|1
20|14|44|001|44001|RIOHACHA|1|1
21|25|81|001|81001|ARAUCA|1|1
22|15|47|001|47001|SANTA MARTA|1|1
23|28|88|001|88001|SAN ANDRES|1|1
24|17|52|001|52001|PASTO|1|1
25|18|54|001|54001|CUCUTA|1|1
26|19|63|001|63001|ARMENIA|1|1
27|30|94|001|94001|INIRIDA|1|1
28|22|70|001|70001|1NCELEJO|1|1
29|23|73|001|73001|IBAGUE|1|1
30|31|95|001|95001|SAN JOSE DEL GUAVIAR|1|1
31|32|97|001|97001|MITU|1|1
32|33|99|001|99001|PUERTO CARRENO|1|1
33|16|50|001|50001|VILLAVICENCIO|1|1
34|1|05|002|05002|ABEJORRAL|1|1
35|18|54|003|54003|ABREGO|1|1
36|1|05|004|05004|ABRIAQUI|1|1
37|4|13|006|13006|ACHI|1|1
38|13|41|006|41006|ACEVEDO|1|1
39|12|27|006|27006|ACANDI|1|1
40|16|50|006|50006|ACACIAS|1|1
41|26|85|010|85010|AGUAZUL|1|1
42|9|20|011|20011|AGUACHICA|1|1
43|9|20|013|20013|AGUSTIN CODAZZI|1|1
44|6|17|013|17013|AGUADAS|1|1
45|21|68|013|68013|AGUADA|1|1
46|13|41|013|41013|AGRADO|1|1
47|26|85|015|85015|CHAMEZA|1|1
48|31|95|015|95015|CALAMAR|1|1
49|13|41|016|41016|AIPE|1|1
50|11|25|019|25019|ALBAN|1|1
51|17|52|019|52019|ALBAN|1|1
52|13|41|020|41020|ALGECIRAS|1|1
53|24|76|020|76020|ALCALA|1|1
54|21|68|020|68020|ALBANIA|1|1
55|1|05|021|05021|ALEJANDRIA|1|1
56|5|15|022|15022|ALMEIDA|1|1
57|8|19|022|19022|ALMAGUER|1|1
58|17|52|022|52022|ALDANA|1|1
59|23|73|024|73024|ALPUJARRA|1|1
60|31|95|025|95025|EL RETORNO|1|1
61|12|27|025|27025|ALTO BAUDO|1|1
62|13|41|026|41026|ALTAMIRA|1|1
63|23|73|026|73026|ALVARADO|1|1
64|7|18|029|18029|ALBANIA|1|1
65|1|05|030|05030|AMAGA|1|1
66|4|13|030|13030|ALTOS DEL ROSARIO|1|1
67|23|73|030|73030|AMBALEMA|1|1
68|15|47|030|47030|ALGARROBO|1|1
69|1|05|031|05031|AMALFI|1|1
70|9|20|032|20032|ASTREA|1|1
71|1|05|034|05034|ANDES|1|1
72|11|25|035|25035|ANAPOIMA|1|1
73|14|44|035|44035|ALBANIA|1|1
74|17|52|036|52036|ANCUYA|1|1
75|1|05|036|05036|ANGELOPOLIS|1|1
76|24|76|036|76036|ANDALUCIA|1|1
77|1|05|038|05038|ANGOSTURA|1|1
78|1|05|040|05040|ANORI|1|1
79|11|25|040|25040|ANOLAIMA|1|1
80|24|76|041|76041|ANSERMANUEVO|1|1
81|1|05|042|05042|SANTAFE DE ANTIOQUIA|1|1
82|6|17|042|17042|ANSERMA|1|1
83|4|13|042|13042|ARENAL|1|1
84|23|73|043|73043|ANZOATEGUI|1|1
85|1|05|044|05044|ANZA|1|1
