Id|Codigo|AplicaASexo|EdadMinima|EdadMaxima|Sexo
1|A000|3|0|999|A
2|A001|3|0|999|A
3|A009|3|0|999|A
4|A010|3|0|999|A
5|A011|3|0|999|A
6|A012|3|0|999|A
7|A013|3|0|999|A
8|A014|3|0|999|A
9|A020|3|0|999|A
10|A021|3|0|999|A
11|D110|3|0|999|A
12|D117|3|0|999|A
13|D119|3|0|999|A
14|D120|3|0|999|A
15|D121|3|0|999|A
16|D122|3|0|999|A
17|D123|3|0|999|A
18|D124|3|0|999|A
19|D125|3|0|999|A
20|D126|3|0|999|A
21|D127|3|0|999|A
22|D128|3|0|999|A
23|D129|3|0|999|A
24|D130|3|0|999|A
25|D131|3|0|999|A
26|A022|3|0|999|A
27|A028|3|0|999|A
28|A029|3|0|999|A
29|A030|3|0|999|A
30|A031|3|0|999|A
31|D132|3|0|999|A
32|D133|3|0|999|A
33|D134|3|0|999|A
34|D135|3|0|999|A
35|D136|3|0|999|A
36|K430|3|0|999|A
37|K431|3|0|999|A
38|K432|3|0|999|A
39|K433|3|0|999|A
40|K434|3|0|999|A
41|K435|3|0|999|A
42|D137|3|0|999|A
43|D139|3|0|999|A
44|D140|3|0|999|A
45|D141|3|0|999|A
46|D142|3|0|999|A
47|K436|3|0|999|A
48|K437|3|0|999|A
49|K439|3|0|999|A
50|K440|3|0|999|A
51|K441|3|0|999|A
52|A032|3|0|999|A
53|A033|3|0|999|A
54|A038|3|0|999|A
55|A039|3|0|999|A
56|A040|3|0|999|A
57|D143|3|0|999|A
58|D144|3|0|999|A
59|D150|3|0|999|A
60|D151|3|0|999|A
61|D152|3|0|999|A
62|K449|3|0|999|A
63|K450|3|0|999|A
64|K451|3|0|999|A
65|K458|3|0|999|A
66|K460|3|0|999|A
67|A041|3|0|999|A
68|A042|3|0|999|A
69|A043|3|0|999|A
70|A044|3|0|999|A
71|A045|3|0|999|A
72|U049|3|0|999|A
73|U060|3|0|999|A
74|U061|3|0|999|A
75|U062|3|0|999|A
76|U063|3|0|999|A
77|U064|3|0|999|A
78|D157|3|0|999|A
79|D159|3|0|999|A
80|D160|3|0|999|A
81|D161|3|0|999|A
82|D162|3|0|999|A
83|K461|3|0|999|A
84|K469|3|0|999|A
85|K500|3|0|999|A
86|K501|3|0|999|A
87|K508|3|0|999|A
88|A046|3|0|999|A
89|A047|3|0|999|A
90|A048|3|0|999|A
91|A049|3|0|999|A
92|A050|3|0|999|A
93|U065|3|0|999|A
94|U066|3|0|999|A
95|U067|3|0|999|A
96|U068|3|0|999|A
97|U069|3|0|999|A
98|U070|3|0|999|A
99|D163|3|0|999|A
