Id|Codigo|Habilitado
1|10815-4|1
2|10888-1|1
3|11416-6|1
4|11416-9|1
5|11417-6|1
6|11696-1|1
7|11701-1|1
8|11888-2|1
9|11888-3|1
10|11933-2|1
11|11980-2|1
12|12972-2|1
13|13162-3|1
14|13165-2|1
15|13393-1|1
16|13393-8|1
17|13394-2|1
18|13648-4|1
19|13738-2|1
20|14398-2|1
21|14438-2|1
22|14446-7|1
23|14944-1|1
24|14962-2|1
25|15125-1|1
26|16478-9|1
27|17013-1|1
28|10121-2|1
29|11218-1|1
30|11501-1|1
31|11519-3|1
32|11697-1|1
33|11700-3|1
34|11837-5|1
35|12318-1|1
36|13838-5|1
37|13854-4|1
38|14958-1|1
39|14959-2|1
40|14962-1|1
41|15678-1|1
42|15875-2|1
43|16815-1|1
44|17023-3|1
45|17070-4|1
46|17141-4|1
47|17144-12|1
48|17586-1|1
49|17973-2|1
50|19353-1|1
51|19353-5|1
52|19491-1|1
53|19498-1|1
54|19509-2|1
55|19510-1|1
56|19547-1|1
57|19575-2|1
58|19583-5|1
59|19776-3|1
60|1980002-3|1
61|1980022-5|1
62|1980084-3|1
63|1980110-6|1
64|1980118-1|1
65|1980211-3|1
66|1980477-3|1
67|17070-1|1
68|17134-6|1
69|17145-14|1
70|17145-2|1
71|17420-2|1
72|17583-1|1
73|17587-3|1
74|19393-8|1
75|19394-3|1
76|1980010-5|1
77|1980013-1|1
78|1980022-2|1
79|1980072-6|1
80|1980110-22|1
81|1980176-1|1
82|1980196-2|1
83|1980425-2|1
84|1980545-1|1
85|1980545-34|1
86|1980545-53|1
87|1980589-2|1
88|1980643-2|1
89|1980649-2|1
90|1980734-4|1
91|1980747-2|1
92|1980775-1|1
93|1980826-8|1
94|1980857-3|1
95|1980926-2|1
96|1981011-2|1
97|1980477-4|1
98|1980489-1|1
99|1980532-2|1
100|1980542-1|1
101|1980545-21|1
102|1980572-2|1
103|1980580-2|1
104|1980589-1|1
105|1980589-6|1
106|1980618-7|1
107|1981050-11|1
108|1981154-1|1
109|1981159-2|1
110|1981505-13|1
111|1981505-16|1
112|1981505-5|1
113|1981680-3|1
114|1981959-14|1
115|1981959-7|1
116|1982255-6|1
117|1982541-4|1
118|1983090-4|1
119|1983151-4|1
120|1983216-2|1
121|1983915-2|1
122|1984133-6|1
123|1984338-5|1
124|1984360-3|1
125|1984364-1|1
126|1984420-4|1
127|1984583-2|1
128|1984583-5|1
129|1984977-1|1
130|19851-2|1
