Id|CUPS|CIE10
1|067001|Q892
2|067002|Q892
3|082101|H001
4|082101|H000
5|082102|H001
6|082102|H000
7|083501|H022
8|083601|Q102
9|083601|H020
10|083602|Q102
11|083602|H020
12|083603|Q102
13|083603|H020
14|083701|Q101
15|083701|H021
16|083702|Q101
17|083702|H021
18|083703|Q101
19|083703|H021
20|103103|H110
21|103104|H110
22|103105|H110
23|117401|H520
24|117401|H521
25|117401|H522
26|117401|H523
27|117401|H524
28|117401|H525
29|117401|H526
30|117401|H527
31|117402|H520
32|117402|H521
33|117402|H522
34|117402|H523
35|117402|H524
36|117402|H525
37|117402|H526
38|117402|H527
39|117501|H520
40|117501|H521
41|117501|H522
42|117501|H523
43|117501|H524
44|117501|H525
45|117501|H526
46|117501|H527
47|117502|H520
48|117502|H521
49|117502|H522
50|117502|H523
51|117502|H524
52|117502|H525
53|117502|H526
54|117502|H527
55|210001|R040
56|210002|R040
57|210101|R040
58|210201|R040
59|210202|R040
60|210203|R040
61|210401|R040
62|210402|R040
63|210501|R040
64|210502|R040
65|210801|R040
66|210802|R040
67|210901|R040
68|210902|R040
69|219101|Q300
70|219102|Q300
71|219103|Q300
72|264001|K114
73|264002|K114
74|264003|K114
75|264004|K114
76|275401|Q360
77|275401|Q361
78|275401|Q369
79|275402|Q369
80|275403|Q369
81|275404|Q360
82|275405|Q360
83|275405|Q361
84|275405|Q369
85|276209|Q370
86|276209|Q371
87|276209|Q372
88|276209|Q373
89|276209|Q374
90|276209|Q375
91|276209|Q378
92|276209|Q379
93|282101|C024
94|282101|C090
95|282101|C091
96|282101|D104
97|282101|J350
98|282101|J350
99|282101|J353
100|282101|J358
101|282101|J359
102|282101|J36X
103|284101|Q388
104|285103|Q388
105|285103|Q310
106|285103|Q318
107|285103|Q319
108|285104|Q388
109|285104|Q310
110|285104|Q318
111|285104|Q319
112|286101|J353
113|286101|J358
114|286101|J359
115|286101|J352
116|286102|J353
117|286102|J358
118|286102|J359
119|286102|J352
120|287101|R041
121|287101|T813
122|287101|T810
123|287101|T811
124|287102|R041
125|287102|T813
126|287102|T810
127|287102|T811
128|287103|R041
129|287103|T813
130|287103|T810
131|287103|T811
132|290301|T172
133|290303|T172
134|293309|Q387
135|293310|Q387
136|293311|Q387
137|317304|Q392
138|317304|Q391
139|317305|Q392
140|317305|Q391
141|317306|Q392
142|317306|Q391
143|317307|Q392
144|317307|Q391
145|317308|Q392
146|317308|Q391
147|317309|Q392
148|317309|Q391
149|317310|Q392
150|317310|Q391
151|351101|I060
152|351101|I061
153|351101|I062
154|351101|I068
155|351101|I069
156|351101|I350
157|351101|I351
158|351101|I352
159|351101|I358
160|351101|I359
161|351101|I391
162|351101|Q230
163|351101|Q231
164|351102|I060
165|351102|I061
166|351102|I062
167|351102|I068
168|351102|I069
169|351102|I350
170|351102|I351
171|351102|I352
172|351102|I358
173|351102|I359
174|351102|I391
175|351102|Q230
176|351102|Q231
177|351103|I060
178|351103|I061
179|351103|I062
180|351103|I068
181|351103|I069
182|351103|I350
183|351103|I351
184|351103|I352
185|351103|I358
186|351103|I359
187|351103|I391
188|351103|Q230
189|351103|Q231
190|351201|I050
191|351201|I051
192|351201|I052
193|351201|I058
194|351201|I059
195|351201|I340
196|351201|I341
197|351201|I342
198|351201|I348
199|351201|I349
200|351201|I390
201|351201|Q232
202|351201|Q233
203|351202|I050
204|351202|I051
205|351202|I052
206|351202|I058
207|351202|I059
208|351202|I340
209|351202|I341
210|351202|I342
211|351202|I348
212|351202|I349
213|351202|I390
214|351202|Q232
215|351202|Q233
216|351203|I050
217|351203|I051
218|351203|I052
219|351203|I058
220|351203|I059
221|351203|I340
222|351203|I341
223|351203|I342
224|351203|I348
225|351203|I349
226|351203|I390
227|351203|Q232
228|351203|Q233
229|351301|I370
230|351301|I371
231|351301|I372
232|351301|I378
233|351301|I379
234|351301|I393
235|351301|Q220
236|351301|Q221
237|351301|Q222
238|351301|Q223
239|351302|I370
240|351302|I371
241|351302|I372
242|351302|I378
243|351302|I379
244|351302|I393
245|351302|Q220
246|351302|Q221
247|351302|Q222
248|351302|Q223
249|351303|I370
250|351303|I371
251|351303|I372
252|351303|I378
253|351303|I379
254|351303|I393
255|351303|Q220
256|351303|Q221
257|351303|Q222
258|351303|Q223
259|351401|I070
260|351401|I071
261|351401|I072
262|351401|I078
263|351401|I079
264|351401|I361
265|351401|I361
266|351401|I362
267|351401|I368
268|351401|I369
269|351401|I392
270|351401|Q225
271|351401|Q224
272|351401|Q228
273|351401|Q229
274|351402|I070
275|351402|I071
276|351402|I072
277|351402|I078
278|351402|I079
279|351402|I361
280|351402|I361
281|351402|I362
282|351402|I368
283|351402|I369
284|351402|I392
285|351402|Q225
286|351402|Q224
287|351402|Q228
288|351402|Q229
289|351403|I070
290|351403|I071
291|351403|I072
292|351403|I078
293|351403|I079
294|351403|I361
295|351403|I361
296|351403|I362
297|351403|I368
298|351403|I369
299|351403|I392
300|351403|Q225
301|351403|Q224
302|351403|Q228
303|351403|Q229
304|352001|I370
305|352001|I371
306|352001|I372
307|352001|I378
308|352001|I379
309|352001|I393
310|352001|Q220
311|352001|Q221
312|352001|Q222
313|352001|Q223
314|352002|I370
315|352002|I371
316|352002|I372
317|352002|I378
318|352002|I379
319|352002|I393
320|352002|Q220
321|352002|Q221
322|352002|Q222
323|352002|Q223
324|352003|I370
325|352003|I371
326|352003|I372
327|352003|I378
328|352003|I379
329|352003|I393
330|352003|Q220
331|352003|Q221
332|352003|Q222
333|352003|Q223
334|352101|I060
335|352101|I061
336|352101|I062
337|352101|I068
338|352101|I069
339|352101|I350
340|352101|I351
341|352101|I352
342|352101|I358
343|352101|I359
344|352101|I391
345|352101|Q230
346|352101|Q231
347|352102|I060
348|352102|I061
349|352102|I062
350|352102|I068
351|352102|I069
352|352102|I350
353|352102|I351
354|352102|I352
355|352102|I358
356|352102|I359
357|352102|I391
358|352102|Q230
359|352102|Q231
360|352103|I060
361|352103|I061
362|352103|I062
363|352103|I068
364|352103|I069
365|352103|I350
366|352103|I351
367|352103|I352
368|352103|I358
369|352103|I359
370|352103|I391
371|352103|Q230
372|352103|Q231
373|352201|I050
374|352201|I051
375|352201|I052
376|352201|I058
377|352201|I059
378|352201|I340
379|352201|I341
380|352201|I342
381|352201|I348
382|352201|I349
383|352201|I390
384|352201|Q232
385|352201|Q233
386|352202|I050
387|352202|I051
388|352202|I052
389|352202|I058
390|352202|I059
391|352202|I340
392|352202|I341
393|352202|I342
394|352202|I348
395|352202|I349
396|352202|I390
397|352202|Q232
398|352202|Q233
399|352203|I050
400|352203|I051
401|352203|I052
402|352203|I058
403|352203|I059
404|352203|I340
405|352203|I341
406|352203|I342
407|352203|I348
408|352203|I349
409|352203|I390
410|352203|Q232
411|352203|Q233
412|352301|I070
413|352301|I071
414|352301|I072
415|352301|I078
416|352301|I079
417|352301|I361
418|352301|I361
419|352301|I362
420|352301|I368
421|352301|I369
422|352301|I392
423|352301|Q225
424|352301|Q224
425|352301|Q228
426|352301|Q229
427|352302|I070
428|352302|I071
429|352302|I072
430|352302|I078
431|352302|I079
432|352302|I361
433|352302|I361
434|352302|I362
435|352302|I368
436|352302|I369
437|352302|I392
438|352302|Q225
439|352302|Q224
440|352302|Q228
441|352302|Q229
442|352303|I070
443|352303|I071
444|352303|I072
445|352303|I078
446|352303|I079
447|352303|I361
448|352303|I361
449|352303|I362
450|352303|I368
451|352303|I369
452|352303|I392
453|352303|Q225
454|352303|Q224
455|352303|Q228
456|352303|Q229
457|355102|Q211
458|355102|I231
459|355104|Q211
460|355104|I231
461|355105|Q211
462|355105|I231
463|355203|Q210
464|355203|I232
465|355204|Q210
466|355204|I232
467|355205|Q210
468|355205|I232
469|356101|Q211
470|356101|I231
471|356102|Q211
472|356102|I231
473|356201|Q210
474|356201|I232
475|356202|Q210
476|356202|I232
477|356203|Q210
478|356203|I232
479|358001|Q212
480|358002|Q212
481|358101|Q213
482|358102|Q213
483|358103|Q213
484|358104|Q213
485|358105|Q213
486|358106|Q213
487|358108|Q213
488|358201|Q262
489|358202|Q262
490|358203|Q262
491|358204|Q262
492|358205|Q262
493|358206|Q262
494|358207|Q263
495|358208|Q263
496|358209|Q263
497|358210|Q262
498|358211|Q264
499|358306|Q200
500|358307|Q200
501|358308|Q200
502|358701|Q251
503|358702|Q251
504|358703|Q251
505|358710|Q251
506|358801|Q201
507|358801|Q201
508|358802|Q201
509|358802|Q201
510|358803|Q201
511|358803|Q201
512|358805|Q201
513|358805|Q201
514|358806|Q201
515|358806|Q201
516|358807|Q201
517|358807|Q201
518|358901|Q250
519|358902|Q250
520|358903|Q250
521|358904|Q250
522|358905|Q250
523|369101|I254
524|369102|I254
525|369103|I254
526|373200|I253
527|414101|D734
528|414102|D734
529|423001|Q396
530|423001|K225
531|423103|Q396
532|423103|K225
533|423104|Q396
534|423104|K225
535|423105|Q396
536|423105|K225
537|423106|Q396
538|423106|K225
539|423107|Q396
540|423107|K225
541|434001|K317
542|449301|E660
543|449301|E661
544|449301|E662
545|449301|E668
546|449301|E669
547|449302|E660
548|449302|E661
549|449302|E662
550|449302|E668
551|449302|E669
552|449303|E660
553|449303|E661
554|449303|E662
555|449303|E668
556|449303|E669
557|449304|E660
558|449304|E661
559|449304|E662
560|449304|E668
561|449304|E669
562|449305|E660
563|449305|E661
564|449305|E662
565|449305|E668
566|449305|E669
567|449306|E660
568|449306|E661
569|449306|E662
570|449306|E668
571|449306|E669
572|449307|E660
573|449307|E661
574|449307|E662
575|449307|E668
576|449307|E669
577|449601|E660
578|449601|E661
579|449601|E662
580|449601|E668
581|449601|E669
582|449602|E660
583|449602|E661
584|449602|E662
585|449602|E668
586|449602|E669
587|471102|D121
588|471102|D373
589|471102|K352
590|471102|K353
591|471102|K358
592|471102|K36X
593|471102|K380
594|471102|K380
595|471102|K381
596|471102|K382
597|471102|K383
598|471102|K388
599|471102|K389
600|471110|D121
601|471110|D373
602|471110|K352
603|471110|K353
604|471110|K358
605|471110|K36X
606|471110|K380
607|471110|K380
608|471110|K381
609|471110|K382
610|471110|K383
611|471110|K388
612|471110|K389
613|494001|K640
614|494001|K641
615|494001|K642
616|494001|K643
617|494001|K645
618|494001|K648
619|494001|K649
620|494003|K640
621|494003|K641
622|494003|K642
623|494003|K643
624|494003|K645
625|494003|K648
626|494003|K649
627|494004|K640
628|494004|K641
629|494004|K642
630|494004|K643
631|494004|K645
632|494004|K648
633|494004|K649
634|494005|K640
635|494005|K641
636|494005|K642
637|494005|K643
638|494005|K645
639|494005|K648
640|494005|K649
641|494201|K640
642|494201|K641
643|494201|K642
644|494201|K643
645|494201|K645
646|494201|K648
647|494201|K649
648|494300|K640
649|494300|K641
650|494300|K642
651|494300|K643
652|494300|K645
653|494300|K648
654|494300|K649
655|494400|K640
656|494400|K641
657|494400|K642
658|494400|K643
659|494400|K645
660|494400|K648
661|494400|K649
662|494701|K640
663|494701|K641
664|494701|K642
665|494701|K643
666|494701|K645
667|494701|K648
668|494701|K649
669|512101|K800
670|512101|K801
671|512101|K802
672|512101|K803
673|512101|K804
674|512101|K805
675|512101|K808
676|512101|K810
677|512101|K811
678|512101|K818
679|512101|K819
680|512104|K800
681|512104|K801
682|512104|K802
683|512104|K803
684|512104|K804
685|512104|K805
686|512104|K808
687|512104|K810
688|512104|K811
689|512104|K818
690|512104|K819
691|512503|Q444
692|512504|Q444
693|512505|Q444
694|512506|Q444
695|519301|K833
696|519301|K823
697|519302|K833
698|519302|K823
699|520201|K862
700|520201|K868
701|520201|Q452
702|520202|K862
703|520202|K868
704|520202|Q452
705|530001|K403
706|530001|K404
707|530001|K409
708|530002|K403
709|530002|K404
710|530002|K409
711|530003|K403
712|530003|K404
713|530003|K409
714|530301|K400
715|530301|K401
716|530301|K402
717|530301|K403
718|530301|K404
719|530301|K409
720|530302|K400
721|530302|K401
722|530302|K402
723|530302|K403
724|530302|K404
725|530302|K409
726|530401|K400
727|530401|K401
728|530401|K402
729|530401|K403
730|530401|K404
731|530401|K409
732|530402|K400
733|530402|K401
734|530402|K402
735|530402|K403
736|530402|K404
737|530402|K409
738|530601|K403
739|530601|K404
740|530601|K409
741|530602|K403
742|530602|K404
743|530602|K409
744|531001|K400
745|531001|K401
746|531001|K402
747|531002|K400
748|531002|K401
749|531002|K402
750|531003|K400
751|531003|K401
752|531003|K402
753|531501|K400
754|531501|K401
755|531501|K402
756|531502|K400
757|531502|K401
758|531502|K402
759|531601|K400
760|531601|K401
761|531601|K402
762|531602|K400
763|531602|K401
764|531602|K402
765|531701|K400
766|531701|K401
767|531701|K402
768|531702|K400
769|531702|K401
770|531702|K402
771|534001|K420
772|534001|K421
773|534001|K429
774|534002|K420
775|534002|K421
776|534002|K429
777|534101|K420
778|534101|K421
779|534101|K429
780|534102|K420
781|534102|K421
782|534102|K429
783|534301|K420
784|534301|K421
785|534301|K429
786|534302|K420
787|534302|K421
788|534302|K429
789|535001|K430
790|535001|K431
791|535001|K432
792|535002|K430
793|535002|K431
794|535002|K432
795|535101|K430
796|535101|K431
797|535101|K432
798|535102|K430
799|535102|K431
800|535102|K432
801|536801|K433
802|536801|K434
803|536801|K435
804|536802|K433
805|536802|K434
806|536802|K435
807|537001|K440
808|537001|K441
809|537001|K449
810|537001|Q790
811|537001|Q791
812|537002|K440
813|537002|K441
814|537002|K449
815|537002|Q790
816|537002|Q791
817|537003|K440
818|537003|K441
