Id|Codigo|Nombre|Habilitado
1|1|HIDRALAZINA|1
2|10|HEPTABARBO|1
3|1000|METISERGIDA|1
4|10001|EPROCICLOVIR|1
5|10002|LOKIVETMAB|1
6|10003|NUSINERSEN|1
7|10004|ESPEBRUTINIB|1
8|10005|SACROSIDASA|1
9|10007|CENTANAFADINA|1
10|10008|VEROSUDIL|1
11|1001|IMINOFENIMIDA|1
12|10010|DURVALUMAB|1
13|10011|SETMELANOTIDA|1
14|10012|MOTOLIMOD|1
15|10013|EVINACUMAB|1
16|10015|FLUTAFURANOL (18F)|1
17|10017|LASCUFLOXACINO|1
18|10018|VANDORTUZUMAB VEDOTINA|1
19|10019|SOMAPACITAN|1
20|1002|NIFUROXIMA|1
21|10020|DESFESOTERODINA|1
22|10021|AMISELIMOD|1
23|10022|VOSORITIDA|1
24|10023|SELETALISIB|1
25|10024|CRISABOROL|1
26|10025|EPETRABOROL|1
27|10027|RELEBACTAM|1
28|10028|VERUBECESTAT|1
29|10029|RALINEPAG|1
30|10031|ONALESPIB|1
31|10032|INFIGRATINIB|1
32|10033|INDUSATUMAB VEDOTINA|1
33|10034|SAPANISERTIB|1
34|10036|ABEMACICLIB|1
35|10039|AXALIMOGEN FILOLISBAC|1
36|1004|TIOFURADENO|1
37|10041|ELGEMTUMAB|1
38|10042|EPTACOG BETA (ACTIVADO)|1
39|10044|PEGPLERANIB|1
40|10045|LANOPEPDEN|1
41|10046|TOREFORANT|1
42|10047|SOLCITINIB|1
43|10048|GILTERITINIB|1
44|1005|COLESTIRAMINA|1
45|10050|GEPOTIDACINA|1
46|10051|TESIDOLUMAB|1
47|10052|AVORALSTAT|1
48|10053|BROLUCIZUMAB|1
49|10054|INDIMILAST|1
50|10055|LAVAMILAST|1
51|10056|PEXIDARTINIB|1
52|10057|OZANIMOD|1
53|10058|ESPANLECORTEMLOCEL|1
54|10059|DECTREKUMAB|1
55|10064|NEMOLIZUMAB|1
56|10067|RADALBUVIR|1
57|10068|ISATUXIMAB|1
58|10069|DEUTETRABENAZINA|1
59|1007|METASTIRIDONA|1
60|10071|LILOTOMAB|1
61|10075|RIDINILAZOL|1
62|10076|TROFINETIDA|1
63|10078|LUTECIO (177LU) LILOTOMAB SATETRAXETAN|1
64|1008|DETROTIRONINA|1
65|10082|INDUSATUMAB|1
66|1009|XENTIORATO|1
67|1010|TRIPARANOL|1
68|1011|FENETICILINA|1
69|1012|TRICLORMETIAZIDA|1
70|1013|NEALBARBITAL|1
71|1014|PIPERACETAZINA|1
72|1016|DIMEFLINA|1
73|1017|XENIGLOXAL|1
74|1018|ACIDO XENIHEXENICO|1
75|1019|ACIDO XENAZOICO|1
76|1020|SULFAMONOMETOXINA|1
77|1021|CINARIZINA|1
78|1022|OXIMETOLONA|1
79|1023|DEXPANTENOL|1
80|1024|GUANETIDINA|1
81|1025|FEBUVERINA|1
82|1026|ACETOFENAZINA|1
83|1027|METAXALONA|1
84|1029|BROMURO DE TROPENZOLINA|1
85|103|OXITETRACICLINA|1
86|1030|CLORMIDAZOL|1
87|1031|TOSILATO DE ITRAMINA|1
88|1032|METRONIDAZOL|1
89|1033|IOPODATO DE SODIO|1
90|1034|TIETILPERAZINA|1
91|1035|BROMURO DE BENZOPIRRONIO|1
92|1036|ROTOXAMINA|1
93|1037|BROMURO DE CICLOPIRRONIO|1
94|1038|BROMURO DE GLICOPIRRONIO|1
95|1039|NAFTONONA|1
96|104|CLORFENAMINA|1
97|1040|PIROXAMINA|1
98|1041|ROLITETRACICLINA|1
99|1042|ALFAMEPRODINA|1
100|1043|HIDROXOCOBALAMINA|1
101|1044|CARBENCIDA|1
102|1045|BETAMETASONA|1
103|1046|ACETONIDO DE FLUOCINOLONA|1
104|1047|TRIMETOPRIMA|1
105|1048|METOXIFLURANO|1
106|1049|CLORDIAZEPOXIDO|1
107|105|FENIRAMINA|1
108|1050|METICLOTIAZIDA|1
109|1051|TIRAMO|1
110|1054|PEMOLINA|1
111|1055|CLORFENTERMINA|1
112|1056|TETRABENAZINA|1
113|1057|ANGIOTENSINAMIDA|1
114|1058|FENCICLIDINA|1
115|1059|TROPICAMIDA|1
116|106|MEPIRAMINA|1
117|1060|HALOPROGESTERONA|1
118|1061|PSEUDOEFEDRINA|1
119|1062|FENOPERIDINA|1
120|1063|ALFAPRODINA|1
121|1064|FENTERMINA|1
122|1065|VALNOCTAMIDA|1
123|1066|NITRATO DE AMINOETILO|1
124|1068|SULFADIMIDINA|1
125|1069|SECRETINA|1
126|1070|ANAZOLENO DE SODIO|1
127|1071|ISOCARBOXAZIDA|1
128|1072|CLONITACENO|1
129|1073|ETONITAZENO|1
130|1074|ETAMBUTOL|1
131|1075|CARPERIDINA|1
132|1076|ISOAMINILO|1
133|1077|ETOSUXIMIDA|1
134|1079|AMFOTALIDA|1
135|108|CINCOCAINA|1
136|1080|CROTONIAZIDA|1
137|1081|METOSERPIDINA|1
138|1082|CLOROSERPIDINA|1
139|1083|MECLOFENOXATO|1
140|1084|IODURO DE PIPROCURARIO|1
141|1085|NANOFINA|1
142|1087|FTIVAZIDA|1
143|1089|DIPROFENO|1
144|109|DIPERODON|1
145|1090|GANGLEFENO|1
146|1091|BENDAZOL|1
147|1092|TRIMECAINA|1
148|1093|APROFENO|1
149|1095|OPINIAZIDA|1
150|1096|PARAMETASONA|1
151|1097|SULFASIMAZINA|1
152|1098|PRODILIDINA|1
153|1099|HEXAPRADOL|1
154|1100|BUTINAMINA|1
155|1101|VINBLASTINA|1
156|1103|METICILINA|1
157|1104|AMINOTIAZOL|1
158|1105|EPIPROPIDINA|1
159|1106|TRIMETAMIDA|1
160|1107|ETILESTRENOL|1
161|1108|TROMETAMOL|1
162|1110|METILDOPA|1
163|1111|AMOBARBITAL|1
164|1112|DEXTROTIROXINA DE SODIO|1
165|1113|ACEDIASULFONA DE SODIO|1
166|1114|TEFLURANO|1
167|1115|XANTIOL|1
168|1116|AMODIAQUINA|1
169|1117|DIOXAMATO|1
170|1118|CLODANTOINA|1
171|112|CLORURO DE ACRIFLAVINIO|1
172|1120|FENBUTRAZATO|1
173|1121|PENICILAMINA|1
174|1122|FEREDETATO DE SODIO|1
175|1123|FLUDROXICORTIDA|1
176|1124|PIPAZETATO|1
177|1125|CLORTALIDONA|1
178|1126|SULFAMETOMIDINA|1
179|1127|BUTAMOXANO|1
180|1128|PENTAMOXANO|1
181|113|CLORURO DE METILROSANILINA|1
182|1130|DIMETADIONA|1
183|1131|FLUNISOLIDA|1
184|1132|METAGLICODOL|1
185|1133|TIOHEXAMIDA|1
186|1134|ACETOHEXAMIDA|1
187|1135|CLOFEDANOL|1
188|1136|PROPINETIDINA|1
189|1137|CLOROPREDNISONA|1
190|1138|CICLOTIAZIDA|1
191|1139|MESTRANOL|1
192|114|CLORAZODINA|1
193|1140|DIAVERIDINA|1
194|1142|ANTAZOLINA|1
195|1143|BROMURO DE HEXAFLURONIO|1
196|1145|CAPREOMICINA|1
197|1146|BROMETENAMINA|1
198|1147|CLORPROETAZINA|1
199|1148|CIAMEMAZINA|1
200|1149|CICLOBUTIROL|1
201|115|HALAZONA|1
202|1150|DIFENCLOXAZINA|1
203|1151|FENADIAZOL|1
204|1152|SECBUTABARBITAL|1
205|1153|VINILBITAL|1
206|1155|DACTINOMICINA|1
207|1156|BROMURO DE BENCILONIO|1
208|1157|LEVOFACETOPERANO|1
209|1159|DROSTANOLONA|1
210|1160|NICOTINATO DE INOSITOL|1
211|1161|APROBARBITAL|1
212|1162|CETOXIMA|1
213|1164|ETEBENECIDA|1
214|1165|MORAZONA|1
215|1166|POLINOXILINA|1
216|1167|BACITRACINA|1
217|1168|CLORURO DE BENZALCONIO|1
218|1170|CLORURO DE BENCETONIO|1
219|1171|PROLINTANO|1
220|1172|CLORURO DE BENZODODECINIO|1
221|1173|SULFACARBAMIDA|1
222|1174|ETAMIVAN|1
223|1176|ETOMOXANO|1
224|1178|BROMURO DE TRIMEDOXIMA|1
225|1179|CARFENAZINA|1
226|118|CLORURO DE METILBENCETONIO|1
227|1180|BENCILSULFAMIDA|1
228|1181|MECLOXAMINA|1
229|1182|CAMILOFINA|1
230|1183|CLOFENETAMINA|1
231|1184|CARTRIZOATO DE ETILO|1
232|1186|CLORALODOL|1
233|1187|POLITIAZIDA|1
234|1188|TOZALINONA|1
235|1189|ACIDO AMINOCAPROICO|1
236|119|METENAMINA|1
237|1190|ACIDO FOSCOLICO|1
238|1191|MEBEVERINA|1
239|1192|EPIESTRIOL|1
240|1193|BETAMEPRODINA|1
241|1194|DIBUNATO DE ETILO|1
242|1195|GLISOBUZOL|1
243|1196|PRENILAMINA|1
244|1197|TOLPENTAMIDA|1
245|1201|CINTRAMIDA|1
246|1202|CLOSILATO DE TENIO|1
247|1203|BIOTINA|1
248|1204|FENIRAMIDOL|1
249|1205|INDOPINA|1
250|1206|BENCINDOPIRINA|1
251|1207|ANFECLORAL|1
252|1208|OXIMESTERONA|1
253|121|NITROSULFATIAZOL|1
254|1210|CLORMADINONA|1
255|1211|HIDROMADINONA|1
256|1212|CISMADINONA|1
257|1213|NORACIMETADOL|1
258|1215|MECLOCUALONA|1
259|1216|MEFECLORAZINA|1
260|1217|FENOXAZOLINA|1
261|1218|PSILOCIBINA|1
262|1219|BROMURO DE OXIPIRRONIO|1
263|122|SULFACETAMIDA|1
264|1220|MOROXIDINA|1
265|1222|LINESTRENOL|1
266|1223|METENOLONA|1
267|1224|MEBUTAMATO|1
268|1226|TRICLOFENOL PIPERAZINA|1
269|1228|ISOPROPICILINA|1
270|1229|TIFENCILINA|1
271|123|ESTIBAMINA GLUCOSIDO|1
272|1230|CICLOPENTIAZIDA|1
273|1231|BROMISOVAL|1
274|1233|IOFENDILATO|1
275|1234|NOXITIOLINA|1
276|1235|FENOXIPROPAZINA|1
277|1236|PROPATILNITRATO|1
278|1237|XANTOCILINA|1
279|1238|METANFAZONA|1
280|1239|TIROPANOATO DE SODIO|1
281|1240|DIFEBARBAMATO|1
282|1242|BROMINDIONA|1
283|1243|FEBARBAMATO|1
284|1244|BROXIQUINOLINA|1
285|1245|ETAMINILO|1
286|1247|ETIBENZATROPINA|1
287|1249|NICOCODINA|1
288|1251|ZILOFURAMINA|1
289|1253|BROMCLORENONA|1
290|1254|XENISALATO|1
291|1256|MELARSONILO DE POTASIO|1
292|1257|NORETINODREL|1
293|1258|PRISTINAMICINA|1
294|1259|BROMURO DE PROPIROMAZINA|1
295|1260|PANTOTENATO DE CALCIO|1
296|1261|RUFOCROMOMICINA|1
297|1262|TECLOTIAZIDA|1
298|1263|BROMURO DE BIBENZONIO|1
299|1264|DIETADIONA|1
300|1266|TRIAMTERENO|1
301|1267|VISTATOLON|1
302|1268|CARAMIFENO|1
303|1269|VIRGINIAMICINA|1
304|1270|PIPACICLINA|1
305|1271|PENIMEPICICLINA|1
306|1272|DEFOSFAMIDA|1
307|1273|TOLBOXANO|1
308|1274|CETOBEMIDONA|1
309|1275|PROSULTIAMINA|1
310|1276|ETRIPTAMINA|1
311|1277|SULFAMOXOL|1
312|128|MORRUATO DE SODIO|1
313|1280|BROMURO DE HEXOPIRRONIO|1
314|1281|HALETAZOL|1
315|1282|ACETATO DE LAUROLINIO|1
316|1283|BUCETINA|1
317|1284|TIGLOIDINA|1
318|1285|BAMIPINA|1
319|1286|FENCANFAMINA|1
320|1289|HEPTOLAMIDA|1
321|1291|AZATIOPRINA|1
322|1293|OXIPERTINA|1
323|1294|DIAZOXIDO|1
324|1295|DIAZEPAM|1
325|1296|TOLAZAMIDA|1
326|1297|OXIDO DE ATROPINA|1
327|1298|CLORURO DE CETILPIRIDINIO|1
328|1299|METETOINA|1
329|130|TETRADECILSULFATO DE SODIO|1
330|1300|BENFOTIAMINA|1
331|1301|CLORCICLIZINA|1
332|1303|AZATEPA|1
333|1304|CLOXESTRADIOL|1
334|1305|CLOXOTESTOSTERONA|1
335|1306|ROFLURANO|1
336|1307|DISOPIRAMIDA|1
337|1308|PIRITINOL|1
338|1309|CLOMIFENO|1
339|131|METILBROMURO DE HOMATROPINA|1
340|1310|BENZPIPERILONA|1
341|1311|VANILDISULFAMIDA|1
342|1313|LEVANFETAMINA|1
343|1314|CLORNAFAZINA|1
344|1315|CLOPENTIXOL|1
345|1316|ACONIAZIDA|1
346|1317|GLICICLAMIDA|1
347|1318|TRIHEXIFENIDILO|1
348|1319|CLORACIZINA|1
349|1320|PRIDINOL|1
350|1321|CLOROPIRILENO|1
351|1322|GLUCONATO DE COLINA|1
352|1323|LEVOPROPICILINA|1
353|1324|FENCARBAMIDA|1
354|1325|OXANDROLONA|1
355|1326|CLOMETOCILINA|1
356|1327|SOLIPERTINA|1
357|1328|NORTRIPTILINA|1
358|1329|URETANO|1
359|133|IODURO DE FURTRETONIO|1
360|1331|DEPTROPINA|1
361|1332|CINCOFENO|1
362|1333|BROMACRILIDA|1
363|1334|OXICLIPINA|1
364|1335|SULFAMETOXIDIAZINA|1
365|1337|FLUROTILO|1
366|1338|IODURO DE ESTILBAZIO|1
367|1339|AMPICILINA|1
368|134|BROMURO DE BENZOPIRINIO|1
369|1341|DROXIPROPINA|1
370|1342|OXETACAINA|1
371|1343|PIRITRAMIDA|1
372|1344|TIROTRICINA|1
373|1346|TOLPROPAMINA|1
374|1347|TOSILATO DE TROXONIO|1
375|1348|TOSILATO DE TROXIPIRROLIO|1
376|1349|OXIFENAMATO|1
377|135|CICLOPENTAMINA|1
378|1350|PARGILINA|1
379|1351|URAMUSTINA|1
380|1352|FLUPREDNISOLONA|1
381|1353|TOLPOVIDONA (131I)|1
382|1354|OXIBUTININA|1
383|1355|FLUMETASONA|1
384|1357|CLODACAINA|1
385|1358|COCARBOXILASA|1
386|1359|FELIPRESINA|1
387|136|HIDROXIANFETAMINA|1
388|1360|LUCIMICINA|1
389|1362|TOLPIRRAMIDA|1
390|1363|PIRROCAINA|1
391|1364|NONAPIRIMINA|1
392|1365|DIPROFILINA|1
393|1366|CORTICOTROPINA|1
394|1367|ACECLIDINA|1
395|1368|CORTISONA|1
396|1369|CIANOCOBALAMINA|1
397|137|METOXIFENAMINA|1
398|1370|TRICLOFENATO DE ALAZANINA|1
399|1371|ACIDO IOTALAMICO|1
400|1372|OXACILINA|1
401|1373|ALOXIPRINA|1
402|1375|MECISTEINA|1
403|1376|PENTALAMIDA|1
404|1377|FENBENICILINA|1
405|1378|METRIZOATO DE SODIO|1
406|1379|EPITIZIDA|1
407|1380|AZOTOMICINA|1
408|1382|ALTIZIDA|1
409|1383|DUAZOMICINA|1
410|1384|ISOETARINA|1
411|1385|BUFENADRINA|1
412|1386|SULFAMETOXAZOL|1
413|1387|PIMETINA|1
414|1388|CLOBENZOTROPINA|1
415|1389|CICLARBAMATO|1
416|139|FENPROMETAMINA|1
417|1390|CICLOMENOL|1
418|1391|ETIMEMAZINA|1
419|1392|GALANTAMINA|1
420|1393|HEXAMIDINA|1
421|1394|CICLOBARBITAL|1
422|1395|CICLOPROPANO|1
423|1396|CLOFENAMIDA|1
424|1397|BROMURO DE DECAMETONIO|1
425|1399|SULFAPERINA|1
426|14|TIALBARBITAL|1
427|140|TUAMINOHEPTANO|1
428|1400|OXIMETAZOLINA|1
429|1402|BENZQUINAMIDA|1
430|1403|DIMETINDENO|1
431|1404|METIRAPONA|1
432|1405|OXIPENDILO|1
433|1406|BETOXICAINA|1
434|1407|BUTAVERINA|1
435|1410|BUTIZIDA|1
436|1411|LEIOPIRROL|1
437|1412|OXOMEMAZINA|1
438|1413|GLUTAMINA|1
439|1414|TRIMIPRAMINA|1
440|1416|PROPETANDROL|1
441|1419|LINCOMICINA|1
442|1420|ESPARSOMICINA|1
443|1421|FLUOROURACILO|1
444|1422|MOLINAZONA|1
445|1423|METUREDEPA|1
446|1424|TIFENAMILO|1
447|1425|UREDEPA|1
448|1426|BENZARONA|1
449|1427|BENZBROMARONA|1
450|1428|BENZODEPA|1
451|1429|ESPECTINOMICINA|1
452|143|HEXANITRATO DE MANITOL|1
453|1431|ACIDO FUSIDICO|1
454|1433|DIFENIDOL|1
455|1434|SULTIAMO|1
456|1435|TILOXAPOL|1
457|1436|TIABENDAZOL|1
458|1437|BROMELAINA|1
459|1438|VINROSIDINA|1
460|1439|VINLEUROSINA|1
461|1440|VINCRISTINA|1
462|1441|ORTETAMINA|1
463|1442|BUTOPIPRINA|1
464|1443|ACETIAMINA|1
465|1444|FLUANISONA|1
466|1445|IPROCLOZIDA|1
467|1446|RENITOLINA|1
468|1447|ESPARTEINA|1
469|1448|TETRANITRATO DE ERITRITILO|1
470|1449|ALBUTOINA|1
471|145|PROBARBITAL DE SODIO|1
472|1450|ACIDO NALIDIXICO|1
473|1451|ACRISORCINA|1
474|1452|EFLOXATO|1
475|1453|OXOLAMINA|1
476|1455|TETRANITRATO DE PENTAERITRITILO|1
477|1456|CICLOVALONA|1
478|1457|PREDNILIDENO|1
479|1458|CLONITRATO|1
480|1459|PENTABAMATO|1
481|146|SECOBARBITAL|1
482|1460|CLORURO DE TUBOCURARINA|1
483|1462|DOXAPRAM|1
484|1463|MEFENITOINA|1
485|1464|GLUCALOX|1
486|1465|SUCRALOX|1
487|1468|BENTIAMINA|1
488|1469|BISBENTIAMINA|1
489|1470|OCTOTIAMINA|1
490|1471|HEXADILINA|1
491|1472|ACIDO FITICO|1
492|1473|FLUPEROLONA|1
493|1474|BITIONOLATO DE SODIO|1
494|1476|AMINOACRIDINA|1
495|1478|ANILAMATO|1
496|1479|BOLASTERONA|1
497|148|LEVOMETORFANO|1
498|1480|OXITOCINA|1
499|1481|LIPRESINA|1
500|1482|ARGIPRESINA|1
501|1483|ARGIPRESTOCINA|1
502|1485|TECLOZAN|1
503|1486|IDOXURIDINA|1
504|1487|ETASULFATO DE SODIO|1
505|1488|FENIRIPOL|1
506|1489|SIMETICONA|1
507|149|PIPEROXANO|1
508|1490|ACETRIPTINA|1
509|1491|NAFCILINA|1
510|1492|NICOTINATO DE XANTINOL|1
511|1493|ACIDO CLOFENAMICO|1
512|1494|ACIDO MEFENAMICO|1
513|1495|ACIDO FLUFENAMICO|1
514|1496|PANTOTENATO DE CLORANFENICOL COMPUESTO|1
515|1497|COLECALCIFEROL|1
516|1498|DICLOROFENARSINA|1
517|1499|PAXAMATO|1
518|15|PAROXIPROPIONA|1
519|1500|DESIPRAMINA|1
520|1501|MERALEINA DE SODIO|1
521|1502|BETAHISTINA|1
522|1503|LEVOXADROL|1
523|1504|DEXOXADROL|1
524|1505|DIOXADROL|1
525|1506|CLORAL BETAINA|1
526|1507|OXAZEPAM|1
527|1509|ACIDO KAINICO|1
528|1511|GLIPINAMIDA|1
529|1513|ETOXAZENO|1
530|1514|TIMERFONATO DE SODIO|1
531|1515|OXONAZINA|1
532|1516|AMPIRAMINA|1
533|1517|CLOPAMIDA|1
534|1518|TRICLOFOS|1
535|1519|PICLOXIDINA|1
536|152|ACETRIZOATO DE SODIO|1
537|1520|CUMETAROL|1
538|1521|CARSALAM|1
539|1522|CLEFAMIDA|1
540|1523|DIENESTROL|1
541|1524|INDOMETACINA|1
542|1525|QUINGESTRONA|1
543|1526|NALOXONA|1
544|1527|EMBONATO DE CICLOGUANIL|1
545|1528|MELENGESTROL|1
546|1529|MEGESTROL|1
547|1530|CLOFIBRATO|1
548|1531|PREDNISOLAMATO|1
549|1532|NICLOSAMIDA|1
550|1533|CLOXACILINA|1
551|1534|CLORINDIONA|1
552|1535|ACETILCISTEINA|1
553|1536|DIMEFADANO|1
554|1538|MOXISILITA|1
555|1539|DIETAZINA|1
556|154|MERCAPTOMERINA|1
557|1540|DIETILCARBAMAZINA|1
558|1541|KITASAMICINA|1
559|1542|MEQUINOL|1
560|1543|IODURO DE TIEMONIO|1
561|1544|TRIMETAZIDINA|1
562|1545|DIPIRIDAMOL|1
563|1546|GEFARNATO|1
564|1547|DIGITOXINA|1
565|1548|TRIPELENAMINA|1
566|1549|ACECARBROMAL|1
567|155|MERCUMATILINA DE SODIO|1
568|1550|IODURO DE PROLONIO|1
569|1551|PALMITATO DE XANTOFILO|1
570|1552|ACOXATRINA|1
571|1553|ESPIPERONA|1
572|1554|FENETILINA|1
573|1555|IOPIDONA|1
574|1557|INSULINA DALANATADA|1
575|1558|SUCCINATO DE ESTRIOL|1
576|1559|BROMURO DE TONZONIO|1
577|1560|ACIDO IOBENZAMICO|1
578|1561|CLORINDANOL|1
579|1562|LAUROMACROGOL 400|1
580|1563|FORMETOREX|1
581|1565|NICOFURANOSA|1
582|1566|MECLOCICLINA|1
583|1567|RUTAMICINA|1
584|1568|MELITRACENO|1
585|1569|MEPROTIXOL|1
586|157|ACIDO DEHIDROCOLICO|1
587|1570|ACIDO ASPARTICO|1
588|1571|MODALINA|1
589|1573|NAMOXIRATO|1
590|1574|DIHIDROESTREPTOMICINA|1
591|1575|ALMECILINA|1
592|1576|IODURO DE DIMECOLONIO|1
593|1577|BENPERIDOL|1
594|1578|NIFUROXAZIDA|1
595|1579|ETOGLUCIDO|1
596|158|DEHIDROCOLATO DE SODIO|1
597|1580|PRONETALOL|1
598|1581|DESLANOSIDO|1
599|1582|METIXENO|1
600|1583|ACEFILINA PIPERAZINA|1
601|1584|FUROSEMIDA|1
602|1585|ETOSALAMIDA|1
603|1586|ORCIPRENALINA|1
604|1587|METANFEPRAMONA|1
605|1588|PIPAMPERONA|1
606|1589|MOPERONA|1
607|159|METILCELULOSA|1
608|1590|METIODURO DE BUZEPIDA|1
609|1591|DIMANTINA|1
610|1592|DIMELAZINA|1
611|1593|CARBUBARBO|1
612|1594|HIDRACARBAZINA|1
613|1595|HIDROBENTIZIDA|1
614|1596|FENFLURAMINA|1
615|1597|TIOCARLIDA|1
616|1599|CLOCINIZINA|1
617|16|GLICOBIARSOL|1
618|1600|BUTOXILATO|1
619|1603|ANISOPIROL|1
620|1604|TRIFLUPERIDOL|1
621|1607|ACEPERONA|1
622|1608|FENTANILO|1
623|1609|DROPERIDOL|1
624|1610|DIHIDROTAQUISTEROL|1
625|1611|MELETIMIDA|1
626|1612|QUINESTROL|1
627|1613|DIIODOHIDROXIQUINOLEINA|1
628|1614|DIMERCAPROL|1
629|1616|BLUENSOMICINA|1
630|1619|PROZAPINA|1
631|162|BENCESTROL|1
632|1621|DESMETILMORAMIDA|1
633|1622|CICLIRAMINA|1
634|1623|TRIBROMSALAN|1
635|1625|COTININA|1
636|1626|ACTINOQUINOL|1
637|1627|FLUCARBRILO|1
638|1628|BROMURO DE HETERONIO|1
