Id|Codigo|Nombre|Habilitado
1|C28944|CREMA|1
2|C29167|LOCION|1
3|C29269|ENJUAGUE|1
4|C42887|AEROSOL|1
5|C42902|CAPSULA DE LIBERACION RETARDADA|1
6|C42905|TABLETAS DE LIBERACION RETARDADA|1
7|C42909|GRANULOS EFERVESCENTES|1
8|C42912|ELIXIR|1
9|C42914|EMULSION INYECTABLE|1
10|C42916|CAPSULA DE LIBERACION PROLONGADA|1
11|C42927|TABLETAS DE LIBERACION PROLONGADA|1
12|C42932|CINTA ADHESIVA / PELICULA|1
13|C42933|GAS|1
14|C42938|GRANULOS CONVENCIONALES|1
15|C42941|GOMA|1
16|C42942|IMPLANTE|1
17|C42948|GELES y JALEAS|1
18|C42953|LIQUIDO (Diferentes a soluciones)|1
19|C42966|UNGÜENTO|1
20|C42967|PASTA|1
21|C42968|SISTEMAS TRANSDERMICOS|1
22|C42969|PELLETS|1
23|C42983|JABONES Y CHAMPU|1
24|C42989|ESPRAY|1
25|C42993|SUPOSITORIO / OVULO|1
26|C42994|SUSPENSION|1
27|C42996|JARABE|1
28|C43000|TINTURA|1
29|C47913|EMPLASTO|1
30|C47914|TIRA|1
31|C47915|SISTEMAS INTRAUTERINOS|1
32|C64898|ESPUMA|1
33|C64904|CAPSULA CUBIERTA DURA|1
34|C64909|CAPSULA BLANDA|1
35|C69031|SISTEMAS OCULARES|1
36|C91199|SISTEMAS DE ANILLOS VAGINALES|1
37|C91200|SISTEMAS|1
38|COLFF001|TABLETAS DE LIBERACION NO MODIFICADA|1
39|COLFF002|POLVOS PARA NO RECONSTITUIR|1
40|COLFF003|POLVOS PARA RECONSTITUIR|1
41|COLFF004|OTRAS SOLUCIONES|1
42|COLFF005|OTRAS EMULSIONES|1
43|COLFF006|CAPSULAS DE LIBERACION NO MODIFICADA|1
44|COLFF007|CAPSULAS DE LIBERACION MODIFICADA|1
45|COLFF008|TABLETAS DE LIBERACION MODIFICADA|1
46|COLFF009|GRANULOS DE LIBERACION NO MODIFICADA|1
47|COLFF010|GRANULOS DE LIBERACION MODIFICADA|1

