Id|Finalidad|CUPS
1|11|890201
2|11|890205
3|11|890283
4|11|890263
5|11|890203
6|11|890301
7|11|890305
8|11|890383
9|11|890363
10|11|890303
11|11|890101
12|11|890102
13|11|890103
14|11|890105
15|12|890207
16|14|997106
17|19|890201
18|20|890201
19|21|890205
20|22|906247
21|23|890201
22|24|890201
23|25|890201
24|26|992901
25|27|890201
26|28|990104
27|29|990204
28|30|990204
29|31|990204
30|32|990204
31|33|990204
32|34|990204
33|35|990204
34|36|990204
35|37|990204
36|38|990204
37|39|990204
38|40|990204
39|41|990204
40|42|I10001
41|40|890201
42|41|I10001
43|42|890201
44|12|902211
45|12|902213
46|12|906039
47|12|906249
48|12|906223
49|12|904508
50|12|903841
51|12|903868
52|12|903815
53|12|903816
54|12|903817
55|12|903818
56|12|903895
57|12|907106
58|12|892901
59|12|898001
60|12|702201
61|12|898101
62|12|908436
63|12|892904
64|12|673310
65|12|671201
66|12|671202
67|12|671203
68|12|876802
69|12|851101
70|12|851102
71|12|906611
72|12|601101
73|12|601102
74|12|907009
75|12|452301
76|12|893812
77|12|950601
78|12|954601
79|12|954632
80|12|890114
81|14|997101
82|14|997102
83|14|997103
84|14|997104
85|14|997106
86|14|997300
87|14|997310
88|14|993102
89|14|993503
90|14|993106
91|14|993512
92|14|993122
93|14|993510
94|14|993130
95|14|993501
96|14|993502
97|14|993504
98|14|993509
99|14|993522
100|14|993513
101|14|993105
102|14|995199
103|14|697100
104|14|861801
105|14|637300
106|14|637100
107|14|890294
108|14|907201
109|14|890394
110|14|663100
111|14|662200
112|14|663910
113|19|890205
114|19|890263
115|19|890301
116|19|890305
117|19|890305
118|19|890363
119|19|890250
120|19|890350
121|20|890205
122|20|890206
123|20|890301
124|20|890301
125|20|890305
126|20|890306
127|20|890106
128|21|890263
129|21|890208
130|21|890301
131|21|890305
132|21|890363
133|21|890308
134|21|890209
135|21|890309
136|21|890108
137|21|890109
138|23|890205
139|23|890250
140|23|890203
141|23|890206
142|23|890208
143|23|890209
144|23|890301
145|23|890305
146|23|890350
147|23|890303
148|23|890306
149|23|890308
150|23|890309
151|23|906317
152|23|901304
153|23|903841
154|23|911016
155|23|911018
156|23|911020
157|23|902208
158|23|902209
159|23|902211
160|23|902213
161|23|902214
162|23|906127
