Id|Codigo|Habilitado
1|1A1006781005100|1
2|1A1006781005101|1
3|1A1006781006100|1
4|1A1006781006101|1
5|1C1012331000113|1
6|1C1012331000114|1
7|1C1012331000115|1
8|1C1012331000116|1
9|1A1021121000100|1
10|1A1021131000100|1
11|1A1021141000100|1
12|1A1021161000100|1
13|1B1006391000104|1
14|1B1006391000105|1
15|1B1006391000106|1
16|1B1006391000107|1
17|1A1006781006102|1
18|1A1006781006103|1
19|1A1006781006104|1
20|1A1006781006105|1
21|1B1006501000100|1
22|1B1006821000100|1
23|1B1006821001100|1
24|1B1006821001101|1
25|1C1012331000117|1
26|1C1012331000118|1
27|1C1012331000119|1
28|1C1012331000120|1
29|1A1021171000100|1
30|1A1021191000100|1
31|1A1021201000100|1
32|1A1021211000100|1
33|1A1021221000100|1
34|1A1006781007100|1
35|1A1006781007101|1
36|1A1006781008100|1
37|1A1006781009100|1
38|1D1002251003133|1
39|1D1002251003134|1
40|1D1002251003135|1
41|1D1002251003136|1
42|1B1006821001102|1
43|1B1006821001103|1
44|1B1006821001104|1
45|1B1006821002100|1
46|1A1000101000100|1
47|1A1000101000101|1
48|1A1000101000102|1
49|1A1000101000103|1
50|1A1000101000104|1
51|1A1006781009101|1
52|1A1006781010100|1
53|1A1006781010101|1
54|1A1006781011100|1
55|1A1021231000100|1
56|1A1021241000100|1
57|1A1021251000100|1
58|1A1021261000100|1
59|1A1021271000100|1
60|1C1012331000121|1
61|1C1012331000122|1
62|1C1012331000123|1
63|1C1012331001100|1
64|1D1002251003137|1
65|1D1002251003138|1
66|1D1002251003139|1
67|1D1002251003140|1
68|1B1006821002101|1
69|1B1006821002102|1
70|1B1006821002103|1
71|1B1006821002104|1
72|1E1000551005103|1
73|1E1000551005104|1
74|1E1000551005105|1
75|1E1000551006100|1
76|1A1006781012100|1
77|1A1006781013100|1
78|1A1006851000100|1
79|1A1006851001100|1
80|1A1000101000105|1
81|1A1000101000106|1
82|1A1000101000107|1
83|1A1000111000100|1
84|1A1000111000101|1
85|1A1021281000100|1
86|1A1021291000100|1
87|1A1021331000100|1
88|1A1021351000100|1
89|1A1021351000101|1
90|1I1000521002110|1
91|1I1000521002111|1
92|1I1000521002112|1
93|1I1000521002113|1
94|1C1012331001101|1
95|1C1012331001102|1
96|1C1012331001103|1
97|1C1012331001104|1
98|1B1006821002105|1
99|1B1006821002106|1
100|1B1006821002107|1
101|1B1006821002108|1
102|1L1006231000102|1
103|1L1006231000103|1
104|1L1006231001100|1
105|1L1006231002100|1
106|1F1000601002100|1
107|1F1000601002101|1
108|1F1000601002102|1
109|1F1000601002103|1
110|1A1021351000102|1
111|1A1021361000100|1
112|1A1021371000100|1
113|1A1021381000100|1
114|1D1002251003141|1
115|1D1002251004100|1
116|1D1002251004101|1
117|1D1002251005100|1
118|1E1000551006101|1
119|1E1000551006102|1
120|1E1000551006103|1
121|1E1000551006104|1
122|1A1006851001101|1
123|1A1006851002100|1
124|1A1006851002101|1
125|1A1006851002102|1
126|1M1003161000105|1
127|1M1003161000106|1
128|1M1003161000107|1
129|1M1003161000108|1
130|1A1000141000100|1
131|1A1000281000100|1
132|1A1000281001100|1
133|1A1000281002100|1
134|1P1003981007105|1
135|1P1003981007106|1
136|1P1003981007107|1
137|1P1003981007108|1
138|1N1011831000101|1
139|1N1012251000100|1
140|1N1012251000101|1
141|1N1012251000102|1
142|1C1012651000100|1
143|1C1012651001100|1
144|1C1012651001101|1
145|1C1012701000100|1
146|1C1012701000101|1
147|1N1012251000103|1
148|1N1012251000104|1
149|1N1012251001100|1
150|1N1012351000100|1
151|1N1012481000100|1
152|1N1012481001100|1
153|1N1012481001101|1
154|1N1012481001102|1
155|1R1009221001100|1
156|1R1009221002100|1
157|1R1009221002101|1
158|1R1009221003100|1
159|1A1006851003100|1
160|1A1006851004100|1
161|1A1006851005100|1
162|1A1006851006100|1
163|1R1009221004100|1
164|1R1010121000100|1
165|1R1010121000101|1
166|1R1010121000102|1
167|1A1000281003100|1
168|1A1000281004100|1
169|1A1000281005100|1
170|1A1000281006100|1
171|1T1036931000101|1
172|1T1036931000102|1
173|1T1036931000103|1
174|1T1037461000100|1
175|1T1001031000108|1
176|1T1001161000100|1
177|1T1001161001100|1
178|1T1001161002100|1
179|1E1000551006105|1
180|1E1000551007100|1
181|1E1000551007101|1
182|1E1000551007102|1
183|1E1000551007103|1
184|1E1000551007104|1
185|1E1000551007105|1
186|1E1000551007106|1
187|1T1037871000100|1
188|1T1037871000101|1
189|1T1037891000100|1
190|1T1037891000101|1
191|1B1006821003100|1
192|1B1006821003101|1
193|1B1006821003102|1
194|1B1006821004100|1
195|1M1003161000109|1
196|1M1003161001100|1
197|1M1003161001101|1
198|1M1003161001102|1
199|1E1000551007107|1
200|1E1000551007108|1
201|1E1000551007109|1
202|1E1000551007110|1
203|1C1012821000100|1
204|1C1012831000100|1
205|1C1012831001100|1
206|1C1013081000100|1
207|1R1010121000103|1
208|1R1010121000104|1
209|1R1010121000105|1
210|1R1010121000106|1
211|1P1003981008100|1
212|1P1004431000100|1
213|1P1004431001100|1
214|1P1004431002100|1
215|1B1007701000100|1
216|1B1007701000101|1
217|1B1007701001100|1
218|1B1007701002100|1
219|1T1001161003100|1
220|1T1001161004100|1
221|1T1001161005100|1
222|1T1001171000100|1
223|1B1007701003100|1
224|1B1007701004100|1
225|1B1007701005100|1
226|1B1007701005101|1
227|1N1012481001103|1
228|1N1012481002100|1
229|1N1012481003100|1
230|1N1012481003101|1
231|1B1007701006100|1
232|1B1007701006101|1
233|1B1007701007100|1
234|1B1008041000100|1
235|1F1000601002104|1
236|1F1000601002105|1
237|1F1000601002106|1
238|1F1000611000100|1
239|1C1013081000101|1
240|1C1013081001100|1
241|1C1013171000100|1
242|1C1013231000100|1
243|1M1003161002100|1
244|1M1003161002101|1
245|1M1003161002102|1
246|1M1003161002103|1
247|1M1003161002104|1
248|1M1003161002105|1
249|1M1003161002106|1
250|1M1003161002107|1
251|1P1004431003100|1
252|1P1004431004100|1
253|1P1004431004101|1
254|1P1004431005100|1
255|1A1000321000100|1
256|1A1000671000100|1
257|1A1000671000101|1
258|1A1000671001100|1
259|1C1013231000101|1
260|1C1013231000102|1
261|1C1013231000103|1
262|1C1013231000104|1
263|1L1006231002101|1
264|1L1006231002102|1
265|1L1006231003100|1
266|1L1006231004100|1
267|1I1000521003100|1
268|1I1000521003101|1
269|1I1000521003102|1
270|1I1000521003103|1
271|1P1004431006100|1
272|1P1004431006101|1
273|1P1004431007100|1
274|1P1004431008100|1
275|1R1010121001100|1
276|1R1010121001101|1
277|1R1010121002100|1
278|1R1010121003100|1
279|1L1006231004101|1
280|1L1006231004102|1
281|1L1006231005100|1
282|1L1006231006100|1
283|1E1000551007111|1
284|1E1001261000100|1
285|1E1001261000101|1
286|1E1001261000102|1
287|1C1013521000100|1
288|1C1013521000101|1
289|1C1013521000102|1
290|1C1013521000103|1
291|1P1004431009100|1
292|1P1004441000100|1
293|1P1004441001100|1
294|1P1004441002100|1
295|1T1037901000100|1
296|1T1037901000101|1
297|1T1037981000100|1
298|1T1037981000101|1
299|1T1001521000100|1
300|1T1001661000100|1
301|1T1001661000101|1
302|1T1001661001100|1
303|1T1001661002100|1
304|1M1003161002108|1
305|1M1003161002109|1
306|1M1003161003100|1
307|1M1003161004100|1
308|1A1000671001101|1
309|1A1000671001102|1
310|1A1000691000100|1
311|1A1000691001100|1
312|1R1010121003101|1
313|1R1010121003102|1
314|1R1010121004100|1
315|1R1010121004101|1
316|1B1008511000100|1
317|1B1008511000101|1
318|1B1008511001100|1
319|1B1008511001101|1
320|1E1001261000103|1
321|1E1001261001100|1
322|1E1001261002100|1
323|1E1001261003100|1
324|1I1000521003104|1
325|1I1000521003105|1
326|1I1000521003106|1
327|1I1000521004100|1
328|1R1010121004102|1
329|1R1010121004103|1
330|1R1010121004104|1
331|1R1010121004105|1
332|1T1037991000100|1
333|1T1037991000101|1
334|1T1038071000100|1
335|1T1038071000101|1
336|1T1038071000102|1
337|1T1038071000103|1
338|1T1038271000100|1
339|1T1038271000101|1
340|1T1001661003100|1
341|1T1001671000100|1
342|1T1001671001100|1
343|1T1001671001101|1
344|1T1001671001102|1
345|1T1001671001103|1
346|1T1001671001104|1
347|1T1001671001105|1
348|1F1000771000100|1
349|1F1000931000100|1
350|1F1000931000101|1
351|1F1000931000102|1
352|1B1008531000100|1
353|1B1008641000100|1
354|1B1008671000100|1
355|1B1008711000100|1
356|1E1001261004100|1
357|1E1001261004101|1
358|1E1001261004102|1
359|1E1001261004103|1
360|1F1000931000103|1
361|1F1000931000104|1
362|1F1001591000100|1
363|1F1001591001100|1
364|1R1010121004106|1
365|1R1010121004107|1
366|1R1010121004108|1
367|1R1010121004109|1
368|1P1004451000100|1
369|1P1004451001100|1
370|1P1004451002100|1
371|1P1004461000100|1
372|1I1000521004101|1
373|1I1000521004102|1
374|1I1000521004103|1
375|1I1000521004104|1
376|1M1003161004101|1
377|1M1003161004102|1
378|1M1003161004103|1
379|1M1003161004104|1
380|1R1010121004110|1
381|1R1010121004111|1
382|1R1010121005100|1
383|1R1010121005101|1
384|1T1038271000102|1
385|1T1038271000103|1
386|1T1038271000104|1
387|1T1038271000105|1
388|1F1001591002100|1
389|1F1001691000100|1
390|1F1001691000101|1
391|1F1001691001100|1
392|1M1003561000100|1
393|1M1003561000101|1
394|1M1003561001100|1
395|1M1003561002100|1
396|1A1000691002100|1
397|1A1000691003100|1
398|1A1000691004100|1
399|1A1000691005100|1
400|1A1000821000100|1
401|1T1038271000106|1
402|1T1038271000107|1
403|1T1038271000108|1
404|1T1038271000109|1
405|1M1003561002101|1
406|1M1003561002102|1
407|1M1003561002103|1
408|1M1003561002104|1
409|1L1006231006101|1
410|1L1006231007100|1
411|1L1006371000100|1
412|1L1006371000101|1
413|1T1001671001106|1
414|1T1001671002100|1
415|1T1001671002101|1
416|1T1001671002102|1
417|1R1010121005102|1
418|1R1010121005103|1
419|1R1010121005104|1
420|1R1010121005105|1
421|1T1001671002103|1
422|1T1001671002104|1
423|1T1001671002105|1
424|1T1001671002106|1
425|1M1003691000100|1
426|1M1003691000101|1
427|1M1003691001100|1
428|1M1003691002100|1
429|1T1038271000110|1
430|1T1038271000111|1
431|1T1038281000100|1
432|1T1038281000101|1
