Id|Codigo|Nombre|Habilitado
1|1|AMPOLLA|1
2|10|ENVASE|1
3|11|CAJA|1
4|12|LATA|1
5|13|FRASCO|1
6|14|CAPSULA|1
7|15|CARTON|1
8|16|CARTUCHO|1
9|17|ESTUCHE|1
10|18|PELICULA DE PVC TRANSPARENTE DE COLORES|1
11|19|UNIDADES CLINICAS|1
12|2|APLICADOR|1
13|20|RECUBRIMIENTO|1
14|21|CONTENEDOR|1
15|22|RECUENTO|1
16|23|COPA|1
17|24|CILINDRO|1
18|25|VASOS DEWAR|1
19|26|DIAL PACK|1
20|27|DISCO|1
21|28|DOSIS EN ENVASE|1
22|29|GOTAS|1
23|3|BOLSA|1
24|30|TAMBOR - BOMBO|1
25|31|PELICULA|1
26|32|GENERADOR|1
27|33|GLOBULO|1
28|34|DILUCION HOMEOPATICA|1
29|35|IMPLANTE|1
30|36|INHALACION|1
31|37|INHALADOR|1
32|38|INHALADOR, RECARGA|1
33|39|INSERTO|1
34|4|BARRA|1
35|40|FRASCO|1
36|41|JARRA|1
37|42|UNIDAD INHIBIDORA DE CALICREINA|1
38|43|KIT|1
39|44|PASTILLA|1
40|45|EMBALAJE|1
41|46|PAQUETE|1
42|47|BALDE|1
43|48|PARTES|1
44|49|PARCHE|1
45|5|PERLA|1
46|50|PILDORA (PELLET)|1
47|51|PIEZA|1
48|53|UNIDADES DE PRESION|1
49|54|ANILLO|1
50|55|SATURADO|1
51|56|CUCHARA MEDIDORA|1
52|57|ESPONJA|1
53|58|ATOMIZADOR (SPRAY)|1
54|59|CENTIMETRO CUADRADO|1
55|6|BLISTER|1
56|61|TIRA|1
57|63|SUPOSITORIO|1
58|64|HISOPO|1
59|65|JERINGA|1
60|66|TABLETA|1
61|67|TABMINDER|1
62|68|TAMPON|1
63|69|TANQUE|1
64|7|ENVASE BLISTER|1
65|70|PRUEBA|1
66|71|BANDEJA|1
67|72|TROCHE|1
68|73|TUBO|1
69|74|UNIDADES|1
70|75|VIAL|1
71|76|OBLEA|1
72|77|TERMO|1
73|78|SOBRE|1
74|79|PLUMA|1
75|8|BLOQUE|1
76|80|LITRO|1
77|81|OVULO|1
78|9|BOLO|1
