B260;ORQUITIS POR PAROTIDITIS;PAROTIDITIS INFECCIOSA;1;0;120;1;CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS (A00-B99);B26;1;M
C600;TUMOR MALIGNO DEL PREPUCIO;TUMOR MALIGNO DEL PENE;1;0;999;2;TUMORES [NEOPLASIAS] (C00-D48);C60;2;M
C601;TUMOR MALIGNO DEL GLANDE;TUMOR MALIGNO DEL PENE;1;0;999;2;TUMORES [NEOPLASIAS] (C00-D48);C60;2;M
C602;TUMOR MALIGNO DEL CUERPO DEL PENE;TUMOR MALIGNO DEL PENE;1;0;999;2;TUMORES [NEOPLASIAS] (C00-D48);C60;2;M
C608;LESION DE SITIOS CONTIGUOS DEL PENE;TUMOR MALIGNO DEL PENE;1;0;999;2;TUMORES [NEOPLASIAS] (C00-D48);C60;2;M
C609;TUMOR MALIGNO DEL PENE-PARTE NO ESPECIFICADA;TUMOR MALIGNO DEL PENE;1;0;999;2;TUMORES [NEOPLASIAS] (C00-D48);C60;2;M
C61X;TUMOR MALIGNO DE LA PROSTATA;TUMOR MALIGNO DE LA PROSTATA;1;10;120;2;TUMORES [NEOPLASIAS] (C00-D48);C61;2;M
C620;TUMOR MALIGNO DEL TESTICULO NO DESCENDIDO;TUMOR MALIGNO DEL TESTICULO;1;0;999;2;TUMORES [NEOPLASIAS] (C00-D48);C62;2;M
C621;TUMOR MALIGNO DEL TESTICULO DESCENDIDO;TUMOR MALIGNO DEL TESTICULO;1;0;999;2;TUMORES [NEOPLASIAS] (C00-D48);C62;2;M
C629;TUMOR MALIGNO DEL TESTICULO-NO ESPECIFICADO;TUMOR MALIGNO DEL TESTICULO;1;0;999;2;TUMORES [NEOPLASIAS] (C00-D48);C62;2;M
C630;TUMOR MALIGNO DEL EPIDIDIMO;TUMOR MALIGNO DE OTROS ORGANOS GENITALES MASCULINOS Y DE LOS NO ESPECIFICADOS;1;0;999;2;TUMORES [NEOPLASIAS] (C00-D48);C63;2;M
C631;TUMOR MALIGNO DEL CORDON ESPERMATICO;TUMOR MALIGNO DE OTROS ORGANOS GENITALES MASCULINOS Y DE LOS NO ESPECIFICADOS;1;0;999;2;TUMORES [NEOPLASIAS] (C00-D48);C63;2;M
